epoch,maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal,PetscNormRes
139,40.79254935844546,0.0,0.16013663298908123,0.09980381072866792,0.06297469139099121,7.220626235528128e+41,7.630917384288706e+41,0.03696250915527344,"(1.80079628637476e+22, 2)"
140,38.161039610885574,0.0,0.1599631634548144,0.0964708926090382,0.0554349422454834,9.107342077233674e+41,9.598057718057996e+41,0.03460121154785156,"(2.452611947343174e+22, 2)"
141,35.542687412063486,0.0,0.15979048693682785,0.09665702892006152,0.056783199310302734,1.1455394278120233e+42,1.2039450568506461e+42,0.03396916389465332,"(3.325554108900777e+22, 2)"
142,32.93742697423551,0.0,0.15961860426630878,0.09684261644076404,0.056539058685302734,1.436961882426133e+42,1.5061272126451653e+42,0.03462624549865723,"(4.489765097966557e+22, 2)"
143,31.942952736636585,0.0,0.15944751582063024,0.09702754262609921,0.05395364761352539,1.7976793966131473e+42,1.8791569837416197e+42,0.033850908279418945,"(6.03612572354371e+22, 2)"
144,31.7838629729534,0.0,0.15927722158012256,0.09721172865740924,0.07229304313659668,2.2429818749448695e+42,2.3384355622937464e+42,0.04156374931335449,"(8.081947904273789e+22, 2)"
145,31.625568658088632,0.0,0.15910772117654662,0.09739511996632393,0.057016849517822266,2.791260288007019e+42,2.9024382430412815e+42,0.03562021255493164,"(1.0778107654088159e+23, 2)"
146,31.468065814798187,0.0,0.15893901393468363,0.09757767969302433,0.05573534965515137,3.464577320383051e+42,3.59327029368408e+42,0.0342717170715332,"(1.431794685299863e+23, 2)"
147,31.311350485724194,0.0,0.15877109890818297,0.09775938318144589,0.05874824523925781,4.2893314963125636e+42,4.4373120963448676e+42,0.03568387031555176,"(1.8948333728577224e+23, 2)"
148,31.155418733295573,0.0,0.15860397491059403,0.09794021438091333,0.05826616287231445,5.297028003062967e+42,5.465965889279517e+42,0.03637886047363281,"(2.4983339156532998e+23, 2)"
149,31.000266639629093,0.0,0.15843764054233822,0.09812016329717071,0.05707573890686035,6.525170956142911e+42,6.71651781487307e+42,0.035031795501708984,"(3.2821057306461555e+23, 2)"
150,30.845890306430945,0.0,0.15827209421424224,0.09829922419554586,0.05823183059692383,8.01829349858835e+42,8.233130462682475e+42,0.03418731689453125,"(4.2964172660816786e+23, 2)"
151,30.69228585489879,0.0,0.15810733416814512,0.09846124632327538,0.05744290351867676,9.829143901622586e+42,1.0067982686462914e+43,0.03674030303955078,"(5.6044952286038286e+23, 2)"
